D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_14_804.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_14_804.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_14_804.jpg,0,0,0,2.493116E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_14_871.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_14_871.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_14_871.jpg,0,0,0,1.406749E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_14_939.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_14_939.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_14_939.jpg,0,0,0,1.124496E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_006.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_006.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_006.jpg,0,0,0,1.310905E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_075.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_075.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_075.jpg,0,0,0,8.589537E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_146.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_146.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_146.jpg,0,0,0,4.343977E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_215.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_215.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_215.jpg,0,0,0,8.68459E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_284.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_284.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_284.jpg,0,0,0,1.98972E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_350.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_350.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_350.jpg,0,0,0,2.245731E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_420.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_420.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_420.jpg,0,0,0,5.161293E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_487.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_487.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_487.jpg,0,0,0,1.237256E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_555.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_555.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_555.jpg,0,0,0,1.125061E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_624.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_624.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_624.jpg,0,0,0,4.220968E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_694.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_694.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_694.jpg,0,0,0,6.968183E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_763.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_763.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_763.jpg,0,0,0,1.410794E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_833.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_833.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_833.jpg,0,0,0,2.291426E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_903.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_903.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_903.jpg,0,0,0,4.721521E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_15_969.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_15_969.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_15_969.jpg,0,0,0,7.332904E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_036.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_036.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_036.jpg,0,0,0,8.827158E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_105.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_105.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_105.jpg,0,0,0,1.861219E-06
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_172.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_172.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_172.jpg,0,0,0,1.669938E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_240.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_240.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_240.jpg,0,0,0,1.03129E-05
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_310.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_310.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_310.jpg,0,0.1110819,0,0.00672349
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_378.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_378.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_378.jpg,0,0.2862984,0,0.1897881
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_446.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_446.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_446.jpg,0,0.5332914,0,0.5877776
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_514.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_514.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_514.jpg,-0.05,0.71433,0,1.039335
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_581.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_581.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_581.jpg,-0.2,0.8927733,0,1.674342
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_647.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_647.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_647.jpg,-0.4,1,0,2.593381
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_717.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_717.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_717.jpg,-0.5500001,1,0,3.281842
D:\HKII_2024-2025\ITS\SeftDriving\IMG\center_2025_04_04_18_07_16_785.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\left_2025_04_04_18_07_16_785.jpg,D:\HKII_2024-2025\ITS\SeftDriving\IMG\right_2025_04_04_18_07_16_785.jpg,-0.7500002,1,0,4.184907
